path,title,order,section,description,icon
"/introduction","Welcome","1A","Introduction","this is the introduction to the website","search"
"/intro-programming","Intro to Programming","1B","Introduction","learn Java",
"/flowchart","Flowchart & Pseudocode","2A","Basics","this is the description that will show up in social shares","code"
"/java-setup","Java Development Setup","2B","Basics","Intro to java",
"/firstjavaprogram","First Java Program","2C","Basics","run java",
"/dataTypes","Learn Data Types","3A","Learn Java","Learn java","coffee"
"/operators","Operators in Java","3B","Learn Java","Learn java",
"/io-conditionals","Input/Output & Conditionals","3C","Learn Java","Learn java",
"/loops","Loops In Java","3D","Learn Java","Learn java",
"/jumps","Jumps Statements","3E","Learn Java","Learn Java",
"/functions","Function & Scope","3F","Learn Java","Learn how to use functions and scope",
"/arrays","Introduction to Arrays","4A","Arrays","arrays","map"
"/arraylist","ArrayList In Java","4B","Arrays","learn arrays",
"/question","Practise Question","4C","Arrays","learn Arrays",
"/linearsearch","Linear Search","5A","Searching & Sorting","learn Searching algorithms","sort"
"/binarysearch","Binary Search","5B","Searching & Sorting","learn Searching algorithms",
"/bubblesort","Bubble Sort","5C","Searching & Sorting","learn Searching n sorting algorithms",
"/selectionsort","Selection Sort","5D","Searching & Sorting","learn Sorting algorithms",
"/insertion","Insertion Sort","5E","Searching & Sorting","learn Sorting algorithms",
"/intro-string","Intro to Strings","6A","Strings In Depth","learn strings in depth","road"
"/string-builder","StringBuilder in Java","6B","Strings In Depth","learn strings in depth",
"/intro-maths","Intro to Maths in DSA","7A","Maths for DSA","learn maths required in DSA","plus"
"/intro-recursion","Intro to Recursion","8A","Recursion","learn Recursion from scratch","redo"
"/recursive-sorts","Recursive Sorts","8B","Recursion","learn Recursion from scratch",
"/intro-complexity","Intro to Complexity Analysis","9A","Space & Time Complexity","learn about time and space complexity for various algorithms","flask"
"/intro-oop","Intro to OOP","10A","Object Oriented Programming","complete introduction to object oriented programming","object-ungroup"
"/backtracking","Intro","11A","BackTracking In Java","learn about backtracking algorithms","sitemap"
"/intro-linkedlist","Intro to Linked List","12A","Linked Lists","learn Linked list from scratch","link"
"/intro-stacks","Intro to Stack","13A","Stacks & Queues","learn stack data-structure from scratch","align-justify"
"/intro-trees","Intro to Trees","14A","Trees","learn Tree data-struture from scratch","seedling"
"/intro-binarytree","Intro to Binary Tree","15A","Binary Tree","learn about Binary Tree from scratch","tree"
"/intro-bst","Intro to BST","16A","Binary Search Tree","learn about Binary Search Tree from scratch","search"
"/intro-hashmap","Introduction to Hashmap","17A","Hashmap","learn about hashmap from scratch","book"
"/intro-dp","Introduction to DP","18A","Dynamic Programming","learn about Dynamic Programming","sitemap"
"/intro-priorityqueues","Introduction to Priority Queues","19A","Priority Queues","learn about Priority Queues from scratch","braille"
"/intro-graphs","Introduction to Graphs","20A","Graphs","learn about graph data-structure from scratch","map-signs"
"/intro-tries","Introduction to Tries","21A","Tries","learn about tries from scratch","share-alt"
"/assignment","Assignments","22A","Assignments & Practise Question","practise some standard question","question"
